construction,method,n_cases,needle_hit@4,needle_hit@8
standalone_combined,keynorm_maxhead,12,0.0,0.0
standalone_combined,keynorm_meanhead,12,0.0,0.0
standalone_combined,oracle_meanhead,12,0.9167,1.0
standalone_combined,minmax_meanhead,12,0.5556,0.75
standalone_combined,mean_meanhead,12,1.0,1.0
standalone_combined,minmax_maxhead,12,0.4583,0.4861
standalone_combined,random,12,0.0,0.0417
embedded,keynorm_maxhead,4,0.0,0.0
embedded,keynorm_meanhead,4,0.0,0.0
embedded,oracle_meanhead,4,0.7083,0.9167
embedded,minmax_meanhead,4,0.0,0.125
embedded,mean_meanhead,4,0.9167,1.0
embedded,minmax_maxhead,4,0.0,0.125
embedded,random,4,0.0,0.0
