variant,capacity,active_mean,active_min,active_max,active_stdev,active_n_at_zero,active_n_at_one,idle_mean,idle_min,idle_max,idle_stdev,idle_n_at_zero,idle_n_at_one
lru,24,0.4167,0.0,1.0,0.493,28,20,0.0,0.0,0.0,0.0,48,0
lru,36,0.5833,0.0,1.0,0.493,20,28,0.0,0.0,0.0,0.0,48,0
lru,48,0.7292,0.0,1.0,0.4444,13,35,0.0208,0.0,1.0,0.1428,47,1
lru,60,0.8958,0.0,1.0,0.3055,5,43,0.1042,0.0,1.0,0.3055,43,5
semantic_session_aware,24,0.0,0.0,0.0,0.0,48,0,0.0,0.0,0.0,0.0,48,0
semantic_session_aware,36,0.2292,0.0,1.0,0.4203,37,11,0.2708,0.0,1.0,0.4444,35,13
semantic_session_aware,48,0.4792,0.0,1.0,0.4996,25,23,0.5208,0.0,1.0,0.4996,23,25
semantic_session_aware,60,0.75,0.0,1.0,0.433,12,36,0.75,0.0,1.0,0.433,12,36
semantic_session_aware_decay5,24,0.1736,0.0,0.3333,0.1665,23,0,0.0486,0.0,0.3333,0.1126,40,0
semantic_session_aware_decay5,36,0.5833,0.0,1.0,0.493,20,28,0.1806,0.0,1.0,0.3693,36,8
semantic_session_aware_decay5,48,0.7292,0.0,1.0,0.4444,13,35,0.2674,0.0,1.0,0.3978,32,8
semantic_session_aware_decay5,60,0.8958,0.0,1.0,0.3055,5,43,0.3333,0.0,1.0,0.4652,31,15
semantic_session_aware_decay15,24,0.0,0.0,0.0,0.0,48,0,0.0,0.0,0.0,0.0,48,0
semantic_session_aware_decay15,36,0.2292,0.0,1.0,0.4203,37,11,0.1597,0.0,1.0,0.3117,35,5
semantic_session_aware_decay15,48,0.4792,0.0,1.0,0.4996,25,23,0.4062,0.0,1.0,0.4538,23,17
semantic_session_aware_decay15,60,0.75,0.0,1.0,0.433,12,36,0.6354,0.0,1.0,0.4431,12,28
